# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2795
#@/user_id	c4e4d588-8969-45dd-ab6e-a3afd9cb4349
fu xi 	複習	c=1 d=1 t=2338
fu za 	複雜	c=1 d=1.08311 t=2753
fu za de 	複雜的	c=2 d=1.89137 t=2740
fu za du 	複雜度	c=1 d=1 t=1887
fu zhi 	複製	c=1 d=1 t=1781
gai 	改	c=1 d=1.056 t=1459
gai 	該	c=0 d=0.1 t=2349
gai bian 	改變	c=2 d=1.23693 t=2642
gai bian liang 	該變量	c=1 d=1 t=2350
gai hou zhui 	改後綴	c=1 d=1 t=1460
gan de 	乾的	c=0 d=0.00401553 t=2795
gan jue 	感覺	c=4 d=0.0295994 t=2795
gan sha 	幹啥	c=1 d=1 t=2192
gan shang le 	幹上了	c=1 d=1 t=1805
gan wu 	感悟	c=1 d=1 t=1023
gang gang 	剛剛	c=1 d=0.0305009 t=2795
gang hao 	剛好	c=1 d=1 t=2617
gao 	搞	c=3 d=0.110251 t=2795
gao bu chu lai 	搞不出來	c=1 d=1 t=1796
gao duan 	高端	c=0 d=0.1 t=2016
gao ji 	高級	c=3 d=1.82339 t=2458
gao qing 	高清	c=1 d=1 t=2026
ge 	個	c=4 d=0.359832 t=2795
ge 	格	c=1 d=1 t=2186
ge ge 	哥哥	c=0 d=0.0302704 t=2795
ge li 	隔離	c=1 d=1 t=2006
ge ren 	個人	c=3 d=0.516851 t=2795
ge ren jue de 	個人覺得	c=1 d=0.035437 t=2795
ge shi 	格式	c=2 d=0.205917 t=1652
ge shi hua 	格式化	c=7 d=1.04833 t=2507
ge shi shi 	格式是	c=1 d=1 t=1653
gei 	給	c=0 d=0.1 t=2624
gen 	跟	c=2 d=0.0264477 t=2795
gen ben 	根本	c=2 d=1.99501 t=1510
gen you yi si de shi 	跟有意思的事	c=1 d=0.265803 t=2795
geng 	更	c=2 d=0.470043 t=2795
geng hao 	更好	c=1 d=1 t=2475
geng sha 	更紗	c=2 d=0.842114 t=2795
geng xin 	更新	c=1 d=1 t=2779
geng xing 	更姓	c=1 d=1 t=1383
gong ju 	工具	c=1 d=1 t=1496
gong kai ke 	公開課	c=1 d=1 t=2065
gong neng 	功能	c=3 d=1.00201 t=2412
gong ping 	公平	c=1 d=1 t=1961
gong wu yuan 	公務員	c=0 d=0.0704688 t=2795
gong xiang 	共享	c=5 d=0.516851 t=2795
gong ye da xue 	工業大學	c=0 d=0.1 t=1951
gong ye da xue er 	工業大學二	c=1 d=1 t=1952
gong zhong 	公衆	c=0 d=0.1 t=1597
gong zhong hao 	公衆號	c=1 d=1 t=1598
gong zuo 	工作	c=1 d=1 t=2381
gou zao 	構造	c=0 d=0.1 t=2751
gu du 	孤獨	c=0 d=0.0148823 t=2795
gu du de 	孤獨的	c=1 d=0.149569 t=2795
gua 	掛	c=0 d=0.1 t=2138
gua le 	掛了	c=0 d=0.00340475 t=2795
gua le ba 	掛了吧	c=1 d=0.0342181 t=2795
gua zai 	掛載	c=3 d=0.860708 t=2795
gua zai xin 	掛在新	c=1 d=1 t=2139
guan 	管	c=1 d=1 t=2030
guan fang 	官方	c=2 d=1.02328 t=1837
guan li 	管理	c=9 d=0.656448 t=2795
guan li le 	管理了	c=1 d=1 t=1173
guan li qi 	管理器	c=2 d=0.582766 t=2795
guan yu 	關於	c=1 d=1 t=1149
